"annotation_id","annotator","category","created_at","id","lead_time","sentiment","text","updated_at"
25,"1","government","2024-11-15T10:04:25.510678Z",25,26.909,"Positive","New anti-corruption task force established","2024-11-15T10:04:25.510678Z"
26,"1","government","2024-11-15T10:05:42.974904Z",26,76.954,"Neutral","Parliament debates economic reform bill","2024-11-15T10:05:42.974904Z"
27,"1","government","2024-11-15T10:06:04.357564Z",27,20.834,"Neutral","Local government elections scheduled for next quarter","2024-11-15T10:06:04.357564Z"
28,"1","government","2024-11-15T10:06:24.956945Z",28,20.091,"Neutral","Minister announces healthcare system overhaul","2024-11-15T10:06:24.956945Z"
29,"1","government","2024-11-15T10:06:47.272685Z",29,21.757,"Positive","Government introduces youth employment scheme","2024-11-15T10:06:47.272685Z"
30,"1","government","2024-11-15T11:25:18.362026Z",30,4710.468,"Positive","New housing development policy implemented","2024-11-15T11:25:18.362026Z"
31,"1","social","2024-11-15T11:25:55.893430Z",31,37.019,"Positive","Community project improves food security","2024-11-15T11:25:55.893430Z"
32,"1","social","2024-11-15T11:26:03.920120Z",32,7.476,"Positive","Local school achieves 100% matric pass rate","2024-11-15T11:26:03.920120Z"
33,"1","social","2024-11-15T11:26:13.811004Z",33,9.348,"Positive","NGO launches skills development program","2024-11-15T11:26:13.811004Z"
34,"1","social","2024-11-15T11:26:35.457575Z",34,21.136,"Positive","Healthcare workers receive additional training","2024-11-15T11:26:35.457575Z"
35,"1","social","2024-11-15T11:26:45.416303Z",35,9.419,"Positive","Youth entrepreneurship program shows positive results","2024-11-15T11:26:45.416303Z"
36,"1","social","2024-11-15T11:27:16.241294Z",36,30.296,"Positive","Cultural festival attracts international attention","2024-11-15T11:27:16.241294Z"
37,"1","social","2024-11-15T11:27:25.572596Z",37,8.793,"Positive","Sports development initiative reaches rural areas","2024-11-15T11:27:25.572596Z"
38,"1","social","2024-11-15T11:27:56.839446Z",38,30.734,"Positive","Education technology program expands to more schools","2024-11-15T11:27:56.839446Z"
39,"1","social","2024-11-15T11:28:07.989877Z",39,10.636,"Positive","Community safety initiative reduces crime rates","2024-11-15T11:28:07.989877Z"
40,"1","social","2024-11-15T11:28:21.738423Z",40,13.31,"Positive","Social housing project completed ahead of schedule","2024-11-15T11:28:21.738423Z"
41,"1","environment","2024-11-15T11:28:45.936801Z",41,23.691,"Negative","Drought conditions worsen in Eastern Cape","2024-11-15T11:28:45.936801Z"
42,"1","environment","2024-11-15T11:29:24.827939Z",42,38.347,"Neutral","Renewable energy project exceeds targets","2024-11-15T11:29:24.827939Z"
43,"1","environment","2024-11-15T11:32:09.530478Z",43,164.161,"Positive","Conservation effort saves endangered species","2024-11-15T11:32:09.530478Z"
44,"1","environment","2024-11-15T11:33:40.362463Z",44,90.375,"Neutral","Climate change adaptation plan launched","2024-11-15T11:33:40.362463Z"
45,"1","environment","2024-11-15T11:34:50.158983Z",45,69.256,"Positive","Green technology hub creates employment","2024-11-15T11:34:50.158983Z"
46,"1","environment","2024-11-15T11:37:37.946049Z",46,32.755,"Positive","Environmental cleanup project shows results","2024-11-15T11:37:37.946049Z"
47,"1","environment","2024-11-15T11:38:01.602930Z",47,17.852,"Positive","Sustainable farming initiative gains traction","2024-11-15T11:38:01.602930Z"
48,"1","environment","2024-11-15T11:38:18.187582Z",48,10.482,"Positive","Wind farm project nears completion","2024-11-15T11:38:18.187582Z"
49,"1","environment","2024-11-15T11:38:43.252308Z",49,4.499,"Positive","Marine protection area established","2024-11-15T11:38:43.252308Z"
50,"1","environment","2024-11-15T11:39:43.731543Z",50,61.527,"Positive","Air quality improves in major cities","2024-11-15T11:39:43.731543Z"
